楼层数,Optimized DP_实际时间,Optimized DP_理论时间,楼层数,100000,200000,300000,500000,1000000,1200000
100000,0.026369,0.039024,Optimized DP_实际时间,0.026369,0.057882,0.124333,0.191653,0.390239,0.471201
200000,0.057882,0.078048,Optimized DP_理论时间,0.039024,0.078048,0.117072,0.195119,0.390239,0.468287
300000,0.124333,0.117072,楼层数,1500000,1800000,2000000,2200000,2500000,3000000
500000,0.191653,0.195119,Optimized DP_实际时间,0.578353,0.669462,0.746945,0.764841,0.92528,1.152049
1000000,0.390239,0.390239,Optimized DP_理论时间,0.585358,0.70243,0.780478,0.858526,0.975597,1.170717
1200000,0.471201,0.468287,楼层数,3500000,4000000,4500000,5000000,6000000,7000000
1500000,0.578353,0.585358,Optimized DP_实际时间,1.208341,1.466362,1.529042,1.821549,2.183501,2.407097
1800000,0.669462,0.70243,Optimized DP_理论时间,1.365836,1.560956,1.756075,1.951195,2.341434,2.731672
2000000,0.746945,0.780478,楼层数,8000000,9000000,10000000,20000000,30000000,40000000
2200000,0.764841,0.858526,Optimized DP_实际时间,2.856228,2.961487,3.875371,7.186989,超时/失败,超时/失败
2500000,0.92528,0.975597,Optimized DP_理论时间,3.121911,3.51215,3.902389,7.804778,11.707168,15.09556
3000000,1.152049,1.170717,,,,,,,
3500000,1.208341,1.365836,,,,,,,
4000000,1.466362,1.560956,,,,,,,
4500000,1.529042,1.756075,,,,,,,
5000000,1.821549,1.951195,,,,,,,
6000000,2.183501,2.341434,,,,,,,
7000000,2.407097,2.731672,,,,,,,
8000000,2.856228,3.121911,,,,,,,
9000000,2.961487,3.51215,,,,,,,
10000000,3.875371,3.902389,,,,,,,
20000000,7.186989,7.804778,,,,,,,
30000000,超时/失败,11.707168,,,,,,,
